OTU,Size,Taxonomy
Otu00136,3623,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(95);""Sphingobacteriales""(95);unclassified(95);unclassified(95);"
Otu00137,1212,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00138,5359,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00139,4834,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);"
Otu00140,2617,"Bacteria(100);""Bacteroidetes""(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00141,2591,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00142,3824,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00143,4777,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00144,2467,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00145,3665,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae_1(54);unclassified(100);
Otu00146,6197,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Legionellales(100);Legionellaceae(100);Legionella(100);"
Otu00147,395,"Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);unclassified(100);"
Otu00148,5749,"Bacteria(100);""Acidobacteria""(100);Acidobacteria_Gp6(100);Acidobacteria_Gp6_order_incertae_sedis(100);Acidobacteria_Gp6_family_incertae_sedis(100);Gp6(100);"
Otu00149,3737,"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(99);""Sphingobacteriales""(99);unclassified(99);unclassified(99);"
Otu00150,2461,"Bacteria(100);""Bacteroidetes""(98);unclassified(98);unclassified(98);unclassified(98);unclassified(98);"
Otu00151,1405,"Bacteria(100);""Proteobacteria""(100);unclassified(94);unclassified(94);unclassified(94);unclassified(94);"
Otu00152,3667,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00153,1668,"Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Microbacteriaceae(100);unclassified(100);"
Otu00154,6208,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhizobiales(100);Bradyrhizobiaceae(100);Bosea(100);"
Otu00155,2176,"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);"
Otu00156,1826,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00157,4408,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(99);Burkholderiales(99);Oxalobacteraceae(99);unclassified(82);"
Otu00158,3122,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Albidiferax(100);"
Otu00159,6094,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00160,2620,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00161,3765,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00162,2181,"Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(96);unclassified(100);"
Otu00163,3266,"Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);"
Otu00164,1581,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Legionellales(100);Legionellaceae(100);Legionella(100);"
Otu00165,3614,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00166,1527,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu00167,2062,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
Otu00168,6514,"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);unclassified(100);unclassified(100);unclassified(100);"
Otu00169,2118,Bacteria(100);unclassified(89);unclassified(89);unclassified(89);unclassified(89);unclassified(89);
Otu00170,1751,Bacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);
